summonerId,summonerName,enemyMissingPings,matchCount
_LJHdRIHVMjPU_gb9MzpqS0Pe8rZmbxOiYzpyuxNggrLdZU,죤나빠른 물고기,546,31
_CH3Q7fJnS8zVxc5RmMjeMSl_gV4nyoVN7TgjxQ8qnsRraM,때려주세요김모씨,415,57
_1wfOKoaJTX7P64cUDU8-nDw1PUk5scPYK1MV8sjCD1Arfw,Reona Master,237,74
aYkBV-fD_mBJ9B3XsbFhkq8ReqkZn5cK7B9pVWkn-i4czlg,03 조찬영,216,9
QF5M4WtsFsgTKKyJzSAZi9X32-rgV2yjNrM5_5WZAykYgwo,미친 각,198,28
_7vlo1i-a0TdCvvr98R-A2pzZvjseqnBjloqM28xO963PDw,T 자크,179,27
__d6TH25r2bjZK8dHooMLNCUogcTRA-59HzNmjbR15Wlqss,댄스브레이크,123,17
_bQjlqqxf3x7mF7qFwkFiMyEIScEDzuibwZnPspD58BU45E,상체라인연습계정,117,20
_g4zuKi0rHFThIPI3Ndqk2hgO1t8cnB_iYAF5ldgobL_zg,긴 불,112,41
_KyCxGggbqsjy2pfoJP0CfajLtveHXZZW6qJ01e3fmULmA,다시부활했당,107,33
_-RJphEcIWhcP5jTXVf-9Pplc23hdFwYUV4EBjbTKXrfYA,가버려잇,103,23
_eaH5nF6I9yt50W7ix0rDUXn5zpaTHm95kdT_PCyL-7NlTI,숟가락 짝꿍,96,11
_dl5tN84sK5ax8q2PAqBgd5TYJukhiP1n5f0QzP6HfwXtGm_PFKNYhyuZw,중국방송,92,16
uvXo7_LsQ0Jj90axfVilBsH-v7Tx4BmorWnSidW-LbVMdeA,빅바나낙,90,5
L4xlKx-RCPur-819rMBeIClE82B53Bzkv5DPGeUx9GiWAkQ,서브프라임모기지,90,10
pE-7_yaXuSj_r2mFbucwgHm7YAJtSJMUNIWnbrC0Fc-TI6E,빅지노,90,11
_Eq5Aj8Xe6Hb1Rj26eq3Xgyc1UBo-ZIuhHmlCVi2Ixbj88LtGRhMjL8SjA,라인다먹음,89,22
_kPVpIb88vpXSaM_6nT--km0Dzpzk3x9FszdrivzdS_JjcU,겨울뭉,77,9
16eJso3SA6rxjFRPAH8Y0UEqTm7B5wM-t-Q_f_F4OorViw,나나꾸,75,7
QjsNiAWHAq2_uE-ksevExTX48FGmwDYE48OQ7bvGWr1gVDm4le_V7u9NfA,돌잡이때대딸잡음,73,1
_C_OIGzeYtLxmpQyE3aGE3Gexdc3-Wt7SHmiomvlfrSrXLQ,벤수리,70,15
wCNQwlCLvqX5b3r9OaioGrbnYxQgEZgEpvDzpHScbvQ8k0s,뷰지공듀,69,12
sexA5kzwot8m60KBta9aw2-2HDCeovUUkO6iXQdh-RQRnMW9,오른손잡OI,68,13
_An9XqcJaUWb48rKOSAXelVj_PAJS4t5TnDKQ5_QSNRdRuo,철한자9,64,6
cx3692E1IhQW18yF6WWL4JHWrnB8k16arD_55GNNgFbApw,Lee Seo Young,62,7
_iGPlvWDPZmQKDUgfiRFG4zvUz4wRJkWLbj2l82bm2xcnNo,내광배근빨아,61,3
_Laxh1wLGVXfADoW3a--q9BcaXfBnG773uQDHd4HVDmDN_c,정글 or not,61,30
_LznW6eLLknsA8GdpveAZK30R0bBZ8vrPM-VZWJn1CaOew,잠이나퍼자,60,8
_1KRu_8k4I9R8sKNuWWpaeh9Z0ghCqaXQDrJ58bI0tPxSA,지야스,58,9
X4vVbzNAQQWgmfIdDpH80_ww5i-8SinJ9RFt_CzEnTDPNxt_JXnge84GlA,무용과 박소진,57,3
BRW5H57VI5sY1sqN9wT9XBIgSWe2K2Mekoj7OWhVRMvfplw,엽스터치,53,1
mT5VUpspDzfPqwR6oNaXAp3SxECbihXaMZL64l_EKpJU9V0,하체하면근손실,53,9
MYAwHFvJAY-X9RJfkZCP8E5I_QHOXTS3dQ22eHDYpxHoaO0,적정글5울정글0,52,6
yOhBUT2XBikP_qytwFjQucacK_fUBiH1Niv_Xk_-WL5QBfQ,웡복치,51,1
UsCAV8X9VS90vXJHy8jH5fePFxSdfFxHMxU753NLQTG-Tng,검 역,51,1
IcdfSsO6bCP19vu_yAqRsMvjGPujOuE3KXBUMQ8Ra5o9pzw,하나님 말씀,50,1
_Kh62PspIa_9zYOyMcaFvfm9DVV7UCdT315ZWGgjw9msjtg,푸른눈의백뇽,50,18
_crRvczY70PjvPdDa7cRumP8F_IeRGOHDlpe-N2uZk0a8Klps8i9HIKCoA,느그유미장인,50,14
_jiWis4LCBoOPHuUda6b5ICdlhgvZXlC27z-NUvMDAAgZFg,뭐만하면장인,49,16
_6m2530jW86JkbLFmu-9Utn7M6cX_aULgaISCrGiYB7uZA,귤 뺏기,49,11
2VlSw_9ZXEMZLpG8YsPeZaozABQyBAQENqHGUjwpknO2Sg,PARKNOON,48,22
b2ZOFpfCTz5uJIU6dklrzE7TPzG-7kt_v5zKtws4mclOOtTOsq0GM_yaWA,짜증나면서렌침,48,3
RsiAG4uqkv9_a9sAqBVcfPBvuCuwt2e60X7Mc6VC0cqQK2Y,애기히서,47,1
90usihIxbWdldjzetC0q8U1ucVsKQRpsIRKSp0_vxMYKHA,빛나는대머리왁싱,47,1
tOzlnJIEewHOYX32RO1bEq2asU8WJw0Z2RjCusN0pXy7gw,청주 박범순,47,7
LwNBsQwgPSg-PsmbtXjuoEq-bhU3C4_Ra7LU6R0P3jhljR8fo1roQLmZgA,큐티섹시boy,46,7
_5_FCaxapBoWQT4CKAkAGwkvlwt5aIomo3WqGWsqyOQuYYg,브래드톡,46,20
Q0ASywIZArYcgphE4umJMFysfe297gZHIMUaa6YNWZ8yG0Y,U Love Sydney,46,1
Q1pT6I41WTzhxyJWv52BhD7SXtU3zNGzHX9Z78OP-N3vNtg,귀염둥이들중최고,45,1
ZZW8fz7SMaiHkzGtafJq92caHic-kWxuMeRswo--drFZHjQ,LEVV,45,1
I3BojMiI8SHfml9J6v5ukxR6BXXLoeZlL5IBFG-yZCtFDZU,조리뽕쉐이크,45,22
TlP7ixa7LMY9z3hQ_4sLvU30DyY29LLFM-ZlB4ErgcZ_lh12FBjs1YPdFg,롤토용계정,44,1
305msIEJTXuOjKDetCLM47UA0EwNN5NADDbdbKvAjQzdNps,redhighheels,44,1
254LKncrh77ghsFp1JZbGSljpHyM6oJXu8gvJBL_CW9RTw,장래희망 차은우,44,1
qUIru5LOKxPJiZ6NW6JAXoxJz5zj3RfSSYofnJHpXJamskY,신승협,44,1
_kThCO2BoZIImhdzaO27r9_xxWznJXZuRvsU_2RGzNzLGqc,꽃향수,43,5
-z15zhsdbx4x2pGgelwnqSUfWoQGWUMUGVb9d2hLw21KEYA,오룡전멸,42,4
WX7Mm7-qtz8OMIWUFqJtiGZNmLgkWzIClLiFJgO1VnwmxdA,범짱이라구,42,6
