summonerId,summonerName,totalGameDuration
_1wfOKoaJTX7P64cUDU8-nDw1PUk5scPYK1MV8sjCD1Arfw,Reona Master,119195
_CH3Q7fJnS8zVxc5RmMjeMSl_gV4nyoVN7TgjxQ8qnsRraM,때려주세요김모씨,97182
_g4hqgdeVXwm7ukfBixNLO8ijD3c0vEeJs-LKYlGZoCS2g,봇에도사람살아요,95166
_g4zuKi0rHFThIPI3Ndqk2hgO1t8cnB_iYAF5ldgobL_zg,긴 불,66526
_KyCxGggbqsjy2pfoJP0CfajLtveHXZZW6qJ01e3fmULmA,다시부활했당,56017
_Laxh1wLGVXfADoW3a--q9BcaXfBnG773uQDHd4HVDmDN_c,정글 or not,51465
_LJHdRIHVMjPU_gb9MzpqS0Pe8rZmbxOiYzpyuxNggrLdZU,죤나빠른 물고기,49571
QF5M4WtsFsgTKKyJzSAZi9X32-rgV2yjNrM5_5WZAykYgwo,미친 각,47197
_EhKYTaGa6YAgQfvYgKXgZlkEmRtSkeMvd-enmdhg3l9aA,미드서폿 브랜드,46827
_7vlo1i-a0TdCvvr98R-A2pzZvjseqnBjloqM28xO963PDw,T 자크,44835
_Eq5Aj8Xe6Hb1Rj26eq3Xgyc1UBo-ZIuhHmlCVi2Ixbj88LtGRhMjL8SjA,라인다먹음,37857
_-RJphEcIWhcP5jTXVf-9Pplc23hdFwYUV4EBjbTKXrfYA,가버려잇,36365
I3BojMiI8SHfml9J6v5ukxR6BXXLoeZlL5IBFG-yZCtFDZU,조리뽕쉐이크,35750
VNz0BrGzu3qzE4qbsQ8wEIx2YDWpoo0U4HlrVkcnd7xfPRM,개잡는스님바비형,34821
2VlSw_9ZXEMZLpG8YsPeZaozABQyBAQENqHGUjwpknO2Sg,PARKNOON,34821
_dWPbCatG1GJhc6xnKQiSmmcVHbfEfE-qN1wedi-D87Nsw,그냥내잘못,34821
_5_FCaxapBoWQT4CKAkAGwkvlwt5aIomo3WqGWsqyOQuYYg,브래드톡,34150
_bQjlqqxf3x7mF7qFwkFiMyEIScEDzuibwZnPspD58BU45E,상체라인연습계정,33151
_iMjGNqojVbkwmhrq81JkSxXRGNDBgjihAtKjZa6uQ23vwE,Desperado Wood,32525
_Kh62PspIa_9zYOyMcaFvfm9DVV7UCdT315ZWGgjw9msjtg,푸른눈의백뇽,29127
_2JlmeiB4CT_fch3MNdYC_dg1WcZKfEvoTTO_eO3w0Pg82g,어쩌라고맨,28953
_3rNR1fRvUGQmGidL-3FlY1g2gjqNpNweMf9O093UwQrabs,하남자 특 김동성,27081
_crRvczY70PjvPdDa7cRumP8F_IeRGOHDlpe-N2uZk0a8Klps8i9HIKCoA,느그유미장인,25837
__d6TH25r2bjZK8dHooMLNCUogcTRA-59HzNmjbR15Wlqss,댄스브레이크,25211
